Aaradhya
Abha  
Abhay  
Abhilasha  
Adah
Adesh
Adhik
Adhira
Adhita
Adita
Aditi  
Aditya  
Agni  
Aishwarya  
Ajay
Ajeet  
Ajit  
Ajith  
Akanksha  
Akash  
Akhil  
Alisha
Amala  
Amar  
vaishnavi
Amit  
Amita  
Amoli
Amrit  
Amrita  
Anaisha
Anand  
Ananda  
Ananden
Anandha
Anandi  
Anandita
Anant
Ananta  
Ananta-Sesa
Anantee
Ananth  
Anantha  
Ananya
Anika
Anil  
Anila  
Anima  
Aniruddha  
Anish  
Anjali  
Ankita  
Ankur  
Antrija
Anuj  
Anuja  
Anupam  
Anupama  
Anushka
Aparajita  
Appassamy
Aradhana  
Aravind  
Aravinda  
Archana  
Arjun  
Arjuna  
Arun  
Aruna  
Arundhati  
Arya  
Aseem  
Asha  
Ashok  
Ashoka  
Asmee
Avani  
Avanti  
Avinash  
Avni
Bagavathy
Bakula
Bala  
Baladeva  
Baldev  
Bharat  
Bharata  
Bhaskar  
Bhaskara  
Bhavana
Bhavani
Bishen  
Brahma  
Brijesh  
Brijesha  
Brinda
Buddha  
Candravali
Carina
Carliaye
Carma
Carpanin
Chanda  
Chandan  
Chandana  
Chander  
Chandi
Chandra  
Chandra-Kanta
Chandrakant  
Chandrakanta  
Chandraradj
Chanemouga
Chanemougam
Chatrapatty
Chetan  
Chetana  
Chiranjeevi  
Chiranjivi  
Chitra
Cooldeepac
Dalini
Damayandi
Damayanti
Damodar
Damodara
Darshan
Darshana
Daya
Dayanand
Dayaram
Deepak
Deepali
Deepti
Deo
Deodan
Dev
Deva
Devadas
Devaki
Devaraja
Devayanne
Devdan
Devdas
Devi
Devika
Devmani
Devraj
Dhananjay
Dharma
Dharmaradj
Dhaval
Dhruva
Dilip
Dilipa
Dinesh
Dipa
Dipak
Dipaka
Dipali
Dipika
Dipti
Diti
Divya
Divyesh
Djagarajen
Djayssen
Djeyam
Dourgavati
Draupadi  
Drishti
Drishti  
Drupada  
Duleep  
Durga  
Esha  
Ganapati
Ganesh  
Ganesha  
Gauri  
Gautam  
Gautama  
Gayatri
Geeta
Geevarghese  
Girish  
Girisha  
Gita  
Gitika
Gobind  
Godavari
Gomati
Gopal  
Gopala  
Gopalkrishna
Gopi
Gopika
Gopinath  
Gopinatha  
Gotam  
Gotama  
Govind  
Govinda  
Govinden
Gowri  
Hamsa
Harendra  
Hari  
Harinder  
Harish  
Harisha  
Harishankar
Harsha  
Harshad  
Harshal  
Hemachandra
Hiya
Ila  
Ilango
Ilanila
Inderjit  
Inderpal  
Indira  
Indra  
Indrajit  
Indrani  
Indu  
Ira
Isha  
Ishana
Ishita
Ishvara
Ishwari
Itesh
Jagannath  
Jagannatha  
Jagdish  
Jagjit  
Jai  
Jaidev  
Jarita
Jaswinder  
Jaya  
Jayani
Jayant  
Jayanta  
Jayanti  
Jayashri  
Jayendra  
Jaywant  
Jeetendra  
Jitender  
Jitendra  
Jitinder  
Jiva
Jivan
Jyoti  
Jyotsana  
Jyotsna  
Kadivel
Kadrivel
Kaia
Kailash  
Kajal  
Kala  
Kali  
Kalidas  
Kalidasa  
Kalika
Kalinda
Kalpana  
Kalyan  
Kalyana  
Kalyana-Shraddh
Kalyani  
Kama  
Kamala  
Kamaradj
Kamini  
Kanaman
Kanchana  
Kanda-Koumarane
Kanilja
Kanta  
Kanti  
Kanya-Koumari
Kapil  
Kapila  
Karan  
Karishma  
Kariyamna
Karlaye
Karliaye
Karna  
Kartikeya
Karuna
Kashi  
Kashvi
Kasi  
Kaur  
Kausalya  
Kaveri  
Kavi  
Kavita  
Kesavane
Kesaven
Keshava
Keshavan
Kessavaperoumal
Kevala
Keya
Keya
Kichenin
Kimaya
Kiran  
Kirti
Kirtida  
Kishan  
Kishen  
Kishor  
Kishore  
Kishori  
Kistna  
Komari
Komathy
Koumari
Krisha
Krishna  
Krishnaraja
Krishnin
Kshitij  
Kshitija  
Kumar  
Kumara  
Kumaren
Kumari  
Kunal  
Kunala  
Kunti  
Ladha
Lajili
Lakshman  
Lakshmana  
Lakshmi  
Lal  
Lalit  
Lalita  
Lalitha
Lallida
Larisa
Lata  
Lavanya  
Laxman  
Laxmi  
Leela  
Leka
Lekha
Lila  
Lilavady
Lilavati  
Lochan  
Lochana  
Lutchmayah
Madhav  
Madhava  
Madhavi  
Madhu  
Madhukar  
Madhur  
Madhuri  
Madhurya
Mahavir  
Mahavira  
Mahendra  
Mahesh  
Mahesha  
Mahika
Mahinder  
Mala  
Malati  
Malini  
Mandeep  
Mani  
Manickam
Maninder  
Manish  
Manisha  
Manjika
Manju  
Manjula  
Manjusha  
Manu  
Maya  
Mayra
Mayur  
Meena  
Meera  
Mehar
Minakshi
Minali  
Minatchy
Mira  
Mirai
Mishka
Mitul  
Mogaya
Mohan  
Mohana  
Mohandas  
Mohinder  
Mohini  
Moryl
Mounoussamy
Mridula  
Mukesh  
Mukesha  
Mukta  
Mukul  
Murali  
Murugan
Nagendra  
Naitee
Nala  
Nalini  
Nanda  
Nandini
Nandita  
Naouman
Narayan  
Narayana  
Narayanin
Narendra  
Narinder  
Nataraj
Naveen  
Navin  
Navya
Neela  
Neelam  
Neha  
Nehrika
Neysa
Nikhil  
Nikhila  
Nil
Nila  
Nilam  
Nilima  
Ninad  
Niraj  
Nirav  
Nirmal
Nirmala  
Nirupama  
Nisha  
Nishant  
Nithya  
Nitia
Nitika  
Nitin  
Nitya  
Om 
Pavati
Prisha
Rebecca
Ryka
Saanvi
Sahana
Sai
Saisha
Saloni
Shanaya
Shrishti
Sneha
asmita
